tier,model,representation,L_tokens,restore_ms,update_ms,update_corrected,peak_mem_gb,state_bytes,kv_bytes,feasible,window_covers_ctx,transfer_s_bw1m_rtt50ms,transfer_s_bw1m_rtt200ms,transfer_s_bw10m_rtt50ms,transfer_s_bw10m_rtt200ms,transfer_s_bw100m_rtt50ms,transfer_s_bw100m_rtt200ms
a6000,qwen7b,full,1024,165.11,,0,15.46,4498,58720256,1,0,0.086,0.236,0.0536,0.2036,0.0504,0.2004
a6000,qwen7b,window,1024,93.61,,0,,1876,58720256,1,0,0.065,0.215,0.0515,0.2015,0.0502,0.2002
a6000,qwen7b,summary_80,1024,27.71,2598.32,1,,317,58720256,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,1024,30.83,5713.89,1,,684,58720256,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,1024,66.07,,0,,,58720256,1,0,,,,,,
a6000,qwen7b,incr_cold,1024,199.92,,0,,,58720256,1,0,,,,,,
a6000,qwen7b,full,2048,325.4,,0,15.65,8617,117440512,1,0,0.1189,0.2689,0.0569,0.2069,0.0507,0.2007
a6000,qwen7b,window,2048,92.56,,0,,2176,117440512,1,0,0.0674,0.2174,0.0517,0.2017,0.0502,0.2002
a6000,qwen7b,summary_80,2048,28.51,2836.71,1,,317,117440512,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,2048,31.52,6257.08,1,,684,117440512,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,2048,37.55,,0,,,117440512,1,0,,,,,,
a6000,qwen7b,incr_cold,2048,345.49,,0,,,117440512,1,0,,,,,,
a6000,qwen7b,full,4096,666.97,,0,16.07,17246,234881024,1,0,0.188,0.338,0.0638,0.2138,0.0514,0.2014
a6000,qwen7b,window,4096,68.5,,0,,1333,234881024,1,0,0.0607,0.2107,0.0511,0.2011,0.0501,0.2001
a6000,qwen7b,summary_80,4096,28.66,3587.87,1,,317,234881024,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,4096,31.66,4798.88,1,,684,234881024,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,4096,44.86,,0,,,234881024,1,0,,,,,,
a6000,qwen7b,incr_cold,4096,716.95,,0,,,234881024,1,0,,,,,,
a6000,qwen7b,full,8192,1369.4,,0,16.89,34413,469762048,1,0,0.3253,0.4753,0.0775,0.2275,0.0528,0.2028
a6000,qwen7b,window,8192,62.32,,0,,1122,469762048,1,0,0.059,0.209,0.0509,0.2009,0.0501,0.2001
a6000,qwen7b,summary_80,8192,28.6,4803.62,1,,317,469762048,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,8192,31.82,9564.8,1,,684,469762048,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,8192,62.67,,0,,,469762048,1,0,,,,,,
a6000,qwen7b,incr_cold,8192,1458.29,,0,,,469762048,1,0,,,,,,
a6000,qwen7b,full,16384,3090.35,,0,18.53,68422,939524096,1,0,0.5974,0.7474,0.1047,0.2547,0.0555,0.2055
a6000,qwen7b,window,16384,70.49,,0,,1538,939524096,1,0,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
a6000,qwen7b,summary_80,16384,29.35,8289.99,1,,317,939524096,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,16384,31.64,15329.59,1,,684,939524096,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,16384,95.18,,0,,,939524096,1,0,,,,,,
a6000,qwen7b,incr_cold,16384,3269.29,,0,,,939524096,1,0,,,,,,
a6000,qwen7b,full,24576,5244.97,,0,20.17,100906,1409286144,1,0,0.8572,1.0072,0.1307,0.2807,0.0581,0.2081
a6000,qwen7b,window,24576,97.71,,0,,1540,1409286144,1,0,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
a6000,qwen7b,summary_80,24576,30.26,12118.18,1,,317,1409286144,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,24576,32.13,20928.19,1,,684,1409286144,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,24576,125.88,,0,,,1409286144,1,0,,,,,,
a6000,qwen7b,incr_cold,24576,5560.85,,0,,,1409286144,1,0,,,,,,
a6000,qwen7b,full,32768,7804.84,,0,21.81,134130,1879048192,1,0,1.123,1.273,0.1573,0.3073,0.0607,0.2107
a6000,qwen7b,window,32768,65.34,,0,,1288,1879048192,1,0,0.0603,0.2103,0.051,0.201,0.0501,0.2001
a6000,qwen7b,summary_80,32768,29.18,15930.27,1,,317,1879048192,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,32768,32.08,26879.42,1,,684,1879048192,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,32768,153.88,,0,,,1879048192,1,0,,,,,,
a6000,qwen7b,incr_cold,32768,8183.77,,0,,,1879048192,1,0,,,,,,
a6000,qwen7b,full,49152,14820.37,,0,25.1,203588,2818572288,1,0,1.6787,1.8287,0.2129,0.3629,0.0663,0.2163
a6000,qwen7b,window,49152,67.33,,0,,1326,2818572288,1,0,0.0606,0.2106,0.0511,0.2011,0.0501,0.2001
a6000,qwen7b,summary_80,49152,30.66,16402.24,1,,317,2818572288,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,49152,35.77,27527.88,1,,684,2818572288,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,49152,317.62,,0,,,2818572288,1,0,,,,,,
a6000,qwen7b,incr_cold,49152,15766.0,,0,,,2818572288,1,0,,,,,,
a6000,qwen7b,full,65536,21720.17,,0,28.38,269835,3758096384,1,0,2.2087,2.3587,0.2659,0.4159,0.0716,0.2216
a6000,qwen7b,window,65536,68.07,,0,,1197,3758096384,1,0,0.0596,0.2096,0.051,0.201,0.0501,0.2001
a6000,qwen7b,summary_80,65536,30.51,15925.15,1,,317,3758096384,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,65536,36.37,26880.81,1,,684,3758096384,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,65536,330.0,,0,,,3758096384,1,0,,,,,,
a6000,qwen7b,incr_cold,65536,22523.05,,0,,,3758096384,1,0,,,,,,
rtx3090ti,qwen7b,full,1024,220.34,,0,15.46,4498,58720256,1,0,0.086,0.236,0.0536,0.2036,0.0504,0.2004
rtx3090ti,qwen7b,window,1024,119.21,,0,,1876,58720256,1,0,0.065,0.215,0.0515,0.2015,0.0502,0.2002
rtx3090ti,qwen7b,summary_80,1024,25.34,2199.3,1,,317,58720256,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,1024,31.55,4913.99,1,,684,58720256,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,1024,34.23,,0,,,58720256,1,0,,,,,,
rtx3090ti,qwen7b,incr_cold,1024,263.64,,0,,,58720256,1,0,,,,,,
rtx3090ti,qwen7b,full,2048,467.75,,0,15.65,8617,117440512,1,0,0.1189,0.2689,0.0569,0.2069,0.0507,0.2007
rtx3090ti,qwen7b,window,2048,116.68,,0,,2176,117440512,1,0,0.0674,0.2174,0.0517,0.2017,0.0502,0.2002
rtx3090ti,qwen7b,summary_80,2048,26.83,2534.98,1,,317,117440512,1,0,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,2048,33.04,5430.02,1,,684,117440512,1,0,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,2048,40.95,,0,,,117440512,1,0,,,,,,
rtx3090ti,qwen7b,incr_cold,2048,499.8,,0,,,117440512,1,0,,,,,,
rtx3090ti,qwen7b,full,4096,981.76,,0,16.07,17246,234881024,1,0,0.188,0.338,0.0638,0.2138,0.0514,0.2014
rtx3090ti,qwen7b,window,4096,91.2,,0,,1333,234881024,1,0,0.0607,0.2107,0.0511,0.2011,0.0501,0.2001
