tier,model,fidelity,L_tokens,fidelity_tokens,kv_gb_per_session,usable_gb,sessions_memory,feasible
jetson_orin,qwen3b,sum80,8192,80,0.0046,57.8,12599,Y
jetson_orin,qwen3b,sum80,16384,80,0.0046,57.8,12599,Y
jetson_orin,qwen3b,sum80,32768,80,0.0046,57.8,12599,Y
jetson_orin,qwen3b,sum80,65536,80,0.0046,57.8,12599,Y
jetson_orin,qwen3b,sum200,8192,200,0.0115,57.8,5039,Y
jetson_orin,qwen3b,sum200,16384,200,0.0115,57.8,5039,Y
jetson_orin,qwen3b,sum200,32768,200,0.0115,57.8,5039,Y
jetson_orin,qwen3b,sum200,65536,200,0.0115,57.8,5039,Y
jetson_orin,qwen3b,win10,8192,400,0.0229,57.8,2519,Y
jetson_orin,qwen3b,win10,16384,400,0.0229,57.8,2519,Y
jetson_orin,qwen3b,win10,32768,400,0.0229,57.8,2519,Y
jetson_orin,qwen3b,win10,65536,400,0.0229,57.8,2519,Y
jetson_orin,qwen3b,full,8192,8192,0.4698,57.8,123,Y
jetson_orin,qwen3b,full,16384,16384,0.9395,57.8,61,Y
jetson_orin,qwen3b,full,32768,32768,1.879,57.8,infeasible,N
jetson_orin,qwen3b,full,65536,65536,3.7581,57.8,infeasible,N
a6000,qwen7b,sum80,8192,80,0.0046,32.6,7106,Y
a6000,qwen7b,sum80,16384,80,0.0046,32.6,7106,Y
a6000,qwen7b,sum80,32768,80,0.0046,32.6,7106,Y
a6000,qwen7b,sum80,65536,80,0.0046,32.6,7106,Y
a6000,qwen7b,sum200,8192,200,0.0115,32.6,2842,Y
a6000,qwen7b,sum200,16384,200,0.0115,32.6,2842,Y
a6000,qwen7b,sum200,32768,200,0.0115,32.6,2842,Y
a6000,qwen7b,sum200,65536,200,0.0115,32.6,2842,Y
a6000,qwen7b,win10,8192,400,0.0229,32.6,1421,Y
a6000,qwen7b,win10,16384,400,0.0229,32.6,1421,Y
a6000,qwen7b,win10,32768,400,0.0229,32.6,1421,Y
a6000,qwen7b,win10,65536,400,0.0229,32.6,1421,Y
a6000,qwen7b,full,8192,8192,0.4698,32.6,69,Y
a6000,qwen7b,full,16384,16384,0.9395,32.6,34,Y
a6000,qwen7b,full,32768,32768,1.879,32.6,17,Y
a6000,qwen7b,full,65536,65536,3.7581,32.6,8,Y
rtx3090ti_24gb,qwen7b,sum80,8192,80,0.0046,8.6,1874,Y
rtx3090ti_24gb,qwen7b,sum80,16384,80,0.0046,8.6,1874,Y
rtx3090ti_24gb,qwen7b,sum80,32768,80,0.0046,8.6,1874,Y
rtx3090ti_24gb,qwen7b,sum80,65536,80,0.0046,8.6,1874,Y
rtx3090ti_24gb,qwen7b,sum200,8192,200,0.0115,8.6,749,Y
rtx3090ti_24gb,qwen7b,sum200,16384,200,0.0115,8.6,749,Y
rtx3090ti_24gb,qwen7b,sum200,32768,200,0.0115,8.6,749,Y
rtx3090ti_24gb,qwen7b,sum200,65536,200,0.0115,8.6,749,Y
rtx3090ti_24gb,qwen7b,win10,8192,400,0.0229,8.6,374,Y
rtx3090ti_24gb,qwen7b,win10,16384,400,0.0229,8.6,374,Y
rtx3090ti_24gb,qwen7b,win10,32768,400,0.0229,8.6,374,Y
rtx3090ti_24gb,qwen7b,win10,65536,400,0.0229,8.6,374,Y
rtx3090ti_24gb,qwen7b,full,8192,8192,0.4698,8.6,18,Y
rtx3090ti_24gb,qwen7b,full,16384,16384,0.9395,8.6,9,Y
rtx3090ti_24gb,qwen7b,full,32768,32768,1.879,8.6,4,Y
rtx3090ti_24gb,qwen7b,full,65536,65536,3.7581,8.6,infeasible,N
