tier,fidelity,L_tokens,refresh_interval_s,N_memory,N_accelerator,N_binding,binding_constraint,refresh_cost_s,kv_gb_per_session
jetson_orin,sum80,8192,5,12599,1,1,accelerator,3.07,0.0046
jetson_orin,sum80,8192,15,12599,4,4,accelerator,3.07,0.0046
jetson_orin,sum80,8192,30,12599,9,9,accelerator,3.07,0.0046
jetson_orin,sum80,8192,60,12599,19,19,accelerator,3.07,0.0046
jetson_orin,sum80,8192,300,12599,97,97,accelerator,3.07,0.0046
jetson_orin,sum200,8192,5,5039,0,0,accelerator,5.932,0.0115
jetson_orin,sum200,8192,15,5039,2,2,accelerator,5.932,0.0115
jetson_orin,sum200,8192,30,5039,5,5,accelerator,5.932,0.0115
jetson_orin,sum200,8192,60,5039,10,10,accelerator,5.932,0.0115
jetson_orin,sum200,8192,300,5039,50,50,accelerator,5.932,0.0115
jetson_orin,win10,8192,5,2519,125,125,accelerator,0.04,0.0229
jetson_orin,win10,8192,15,2519,377,377,accelerator,0.04,0.0229
jetson_orin,win10,8192,30,2519,755,755,accelerator,0.04,0.0229
jetson_orin,win10,8192,60,2519,1511,1511,accelerator,0.04,0.0229
jetson_orin,win10,8192,300,2519,7556,2519,memory,0.04,0.0229
jetson_orin,full,8192,5,123,125,123,memory,0.04,0.4698
jetson_orin,full,8192,15,123,377,123,memory,0.04,0.4698
jetson_orin,full,8192,30,123,755,123,memory,0.04,0.4698
jetson_orin,full,8192,60,123,1511,123,memory,0.04,0.4698
jetson_orin,full,8192,300,123,7556,123,memory,0.04,0.4698
jetson_orin,sum80,16384,5,12599,0,0,accelerator,6.051,0.0046
jetson_orin,sum80,16384,15,12599,2,2,accelerator,6.051,0.0046
jetson_orin,sum80,16384,30,12599,4,4,accelerator,6.051,0.0046
jetson_orin,sum80,16384,60,12599,9,9,accelerator,6.051,0.0046
jetson_orin,sum80,16384,300,12599,49,49,accelerator,6.051,0.0046
jetson_orin,sum200,16384,5,5039,0,0,accelerator,9.037,0.0115
jetson_orin,sum200,16384,15,5039,1,1,accelerator,9.037,0.0115
jetson_orin,sum200,16384,30,5039,3,3,accelerator,9.037,0.0115
jetson_orin,sum200,16384,60,5039,6,6,accelerator,9.037,0.0115
jetson_orin,sum200,16384,300,5039,33,33,accelerator,9.037,0.0115
jetson_orin,win10,16384,5,2519,78,78,accelerator,0.063,0.0229
jetson_orin,win10,16384,15,2519,236,236,accelerator,0.063,0.0229
jetson_orin,win10,16384,30,2519,472,472,accelerator,0.063,0.0229
jetson_orin,win10,16384,60,2519,945,945,accelerator,0.063,0.0229
jetson_orin,win10,16384,300,2519,4728,2519,memory,0.063,0.0229
jetson_orin,full,16384,5,61,78,61,memory,0.063,0.9395
jetson_orin,full,16384,15,61,236,61,memory,0.063,0.9395
jetson_orin,full,16384,30,61,472,61,memory,0.063,0.9395
jetson_orin,full,16384,60,61,945,61,memory,0.063,0.9395
jetson_orin,full,16384,300,61,4728,61,memory,0.063,0.9395
jetson_orin,sum80,32768,5,12599,0,0,accelerator,9.031,0.0046
jetson_orin,sum80,32768,15,12599,1,1,accelerator,9.031,0.0046
