representation,payload_bytes,bw_profile,rate_cap_mbps,rtt_ms_assumed,theoretical_s,measured_s,measured_throughput_mbps
sum80_kv,4587520,p10_mbps,0.9,20.0,40.997,40.424,0.908
sum80_kv,4587520,p50_mbps,9.58,20.0,3.842,3.798,9.664
sum80_kv,4587520,p90_mbps,102.9,20.0,0.367,0.366,100.139
sum200_kv,11468800,p10_mbps,0.9,20.0,102.479,101.922,0.9
sum200_kv,11468800,p50_mbps,9.58,20.0,9.59,9.561,9.596
sum200_kv,11468800,p90_mbps,102.9,20.0,0.902,0.909,100.944
win10_kv,22937600,p10_mbps,0.9,20.0,204.947,,
win10_kv,22937600,p50_mbps,9.58,20.0,19.17,19.17,9.572
win10_kv,22937600,p90_mbps,102.9,20.0,1.793,1.811,101.349
full_8k_kv,469762048,p10_mbps,0.9,20.0,4197.125,,
full_8k_kv,469762048,p50_mbps,9.58,20.0,392.398,,
full_8k_kv,469762048,p90_mbps,102.9,20.0,36.533,,
