N,condition,frames_retained,total_input_tokens,vision_tokens,state_construction_ms,query_ttft_ms,kv_bytes_measured,kv_bytes_analytical,kv_ratio,n_generated,peak_mem_bytes,gen_total_ms,rep,sc_footprint_ratio,sc_footprint_scale
1,full,1,435,400,807.46,807.46,24944640,24944640,1.0,31,22963256832,3448.35,0,1.0,True
1,window,1,435,400,839.19,839.19,24944640,24944640,1.0,31,22963256832,3450.68,0,1.0,True
1,summary,0,72,0,2998.32,123.63,4128768,4128768,1.0,41,17082780672,3811.07,0,1.0,True
1,full,1,435,400,725.08,725.08,24944640,24944640,1.0,31,22963256832,3465.59,1,1.0,True
1,window,1,435,400,863.87,863.87,24944640,24944640,1.0,31,22963256832,3450.65,1,1.0,True
1,summary,0,72,0,2997.68,123.63,4128768,4128768,1.0,41,17082780672,3807.31,1,1.0,True
3,full,3,1239,1200,3530.02,3530.02,71049216,71049216,1.0,43,35299009024,5770.23,0,1.0,True
3,window,3,1239,1200,3528.46,3528.46,71049216,71049216,1.0,43,35299009024,5767.46,0,1.0,True
3,summary,0,115,0,7558.32,141.44,6594560,6594560,1.0,60,17375885312,5585.64,0,1.0,True
3,full,3,1239,1200,3520.56,3520.56,71049216,71049216,1.0,43,35299009024,5772.54,1,1.0,True
3,window,3,1239,1200,3531.85,3531.85,71049216,71049216,1.0,43,35299009024,5777.96,1,1.0,True
3,summary,0,115,0,7554.99,141.51,6594560,6594560,1.0,60,17375885312,5583.19,1,1.0,True
6,full,6,2445,2400,7743.13,7743.13,140206080,140206080,1.0,36,53391891968,7047.07,0,1.0,True
6,window,3,1239,1200,3276.82,3276.82,71049216,71049216,1.0,43,35299009024,5779.11,0,1.0,True
6,summary,0,175,0,14002.37,200.39,10035200,10035200,1.0,60,17778720768,5649.99,0,1.0,True
6,full,6,2445,2400,7506.88,7506.88,140206080,140206080,1.0,36,53391891968,7295.22,1,1.0,True
6,window,3,1239,1200,3180.91,3180.91,71049216,71049216,1.0,43,35299009024,5788.04,1,1.0,True
6,summary,0,175,0,13992.63,199.79,10035200,10035200,1.0,60,17778720768,5646.13,1,1.0,True
12,window,3,1239,1200,3648.46,3648.46,71049216,71049216,1.0,41,35299009024,5606.82,0,1.0,True
12,summary,0,304,0,27370.39,351.84,17432576,17432576,1.0,60,18632227328,5744.04,0,1.0,True
12,window,3,1239,1200,3677.19,3677.19,71049216,71049216,1.0,41,35299009024,5608.81,1,1.0,True
12,summary,0,304,0,27361.84,300.34,17432576,17432576,1.0,60,18632227328,5747.5,1,1.0,True
