model_slug,model_size_b,condition,rep,weight_bytes,weight_gb,n_input_tokens,n_output_tokens,prefill_ms,decode_ms,decode_tok_per_s,peak_mem_allocated_gb,peak_mem_reserved_gb,attn_impl,compile_ok,is_warmup
qwen3vl4b_i,8,C1,0,8875631616,8.876,340,256,72.8,5650.5,45.31,8.981,9.02,flash_attention_2,True,False
qwen3vl4b_i,8,C1,1,8875631616,8.876,340,256,72.9,5390.3,47.49,8.981,9.02,flash_attention_2,True,False
qwen3vl4b_i,8,C1,2,8875631616,8.876,340,256,73.2,5273.5,48.54,8.981,9.022,flash_attention_2,True,False
qwen3vl4b_i,8,C1,3,8875631616,8.876,340,256,202.1,5264.3,48.63,8.981,9.022,flash_attention_2,True,False
qwen3vl4b_i,8,C1,4,8875631616,8.876,340,256,73.6,5278.5,48.5,8.981,9.022,flash_attention_2,True,False
qwen3vl4b_i,8,C2,0,8875631616,8.876,340,256,74.4,106175.3,2.41,9.073,9.125,flash_attention_2,True,True
qwen3vl4b_i,8,C2,1,8875631616,8.876,340,256,74.9,4702.0,54.44,9.075,9.125,flash_attention_2,True,False
qwen3vl4b_i,8,C2,2,8875631616,8.876,340,256,75.1,4671.3,54.8,9.075,9.125,flash_attention_2,True,False
qwen3vl4b_i,8,C2,3,8875631616,8.876,340,256,75.1,4672.2,54.79,9.075,9.125,flash_attention_2,True,False
qwen3vl4b_i,8,C2,4,8875631616,8.876,340,256,75.9,4671.7,54.8,9.075,9.125,flash_attention_2,True,False
qwen3vl8b_i,8,C1,0,17534247392,17.534,340,256,109.1,8195.2,31.24,17.774,25.82,flash_attention_2,True,False
qwen3vl8b_i,8,C1,1,17534247392,17.534,340,256,109.9,7956.5,32.17,17.774,25.82,flash_attention_2,True,False
qwen3vl8b_i,8,C1,2,17534247392,17.534,340,256,110.3,7984.6,32.06,17.774,25.82,flash_attention_2,True,False
qwen3vl8b_i,8,C1,3,17534247392,17.534,340,256,110.8,7994.9,32.02,17.774,25.82,flash_attention_2,True,False
qwen3vl8b_i,8,C1,4,17534247392,17.534,340,256,110.5,8137.8,31.46,17.774,25.82,flash_attention_2,True,False
qwen3vl8b_i,8,C2,0,17534247392,17.534,340,256,107.2,165127.7,1.55,17.844,26.028,flash_attention_2,True,True
qwen3vl8b_i,8,C2,1,17534247392,17.534,340,256,108.6,7322.3,34.96,17.844,26.028,flash_attention_2,True,False
qwen3vl8b_i,8,C2,2,17534247392,17.534,340,256,108.5,7314.0,35.0,17.844,26.028,flash_attention_2,True,False
qwen3vl8b_i,8,C2,3,17534247392,17.534,340,256,109.2,7338.4,34.89,17.844,26.028,flash_attention_2,True,False
qwen3vl8b_i,8,C2,4,17534247392,17.534,340,256,109.2,7326.3,34.94,17.844,26.028,flash_attention_2,True,False
