family,N,N_REPS,R1_recon_ms,R2a_recon_ms,R2b_recon_ms,R3_recon_ms,R4_recon_ms,R5_recon_ms,R7_recon_ms,R1_all,R2a_all,R2b_all,R3_all,R4_all,R5_all,R7_all
LOW,1,3,152.8,151.0,150.8,150.5,148.9,91.6,27.7,"[152.1, 152.8, 153.2]","[150.7, 151.0, 151.8]","[150.3, 150.8, 151.8]","[150.6, 150.1, 150.5]","[148.9, 149.3, 148.8]","[91.7, 91.0, 91.6]","[28.0, 27.4, 27.7]"
LOW,3,3,375.3,359.2,359.0,360.1,356.6,200.2,29.8,"[373.9, 375.3, 376.4]","[357.8, 362.0, 359.2]","[358.2, 362.6, 359.0]","[360.1, 366.0, 358.1]","[355.8, 356.8, 356.6]","[200.6, 200.2, 200.1]","[30.1, 29.7, 29.8]"
LOW,6,3,733.2,702.9,701.3,364.5,702.9,395.3,30.9,"[733.2, 731.0, 736.8]","[705.3, 700.7, 702.9]","[699.0, 701.3, 702.2]","[363.1, 367.1, 364.5]","[697.0, 704.3, 702.9]","[395.3, 399.6, 394.7]","[31.0, 30.8, 30.9]"
LOW,12,3,1448.5,1384.6,1382.0,367.9,1390.1,781.6,31.5,"[1452.8, 1448.5, 1447.1]","[1387.4, 1382.4, 1384.6]","[1385.6, 1380.8, 1382.0]","[368.0, 367.9, 363.5]","[1386.8, 1390.1, 1391.0]","[781.0, 781.6, 783.3]","[31.5, 31.5, 31.7]"
LOW,24,3,2964.3,2849.5,2850.3,366.6,2852.5,1649.0,30.9,"[2968.7, 2964.3, 2959.9]","[2852.4, 2849.0, 2849.5]","[2850.3, 2843.1, 2914.3]","[366.4, 366.6, 370.1]","[2852.2, 2852.5, 2859.5]","[1648.5, 1649.0, 1656.4]","[30.9, 30.8, 31.1]"
LOW,48,3,6372.4,6129.0,6195.9,365.6,6158.5,3751.6,31.5,"[6360.1, 6372.4, 6428.5]","[6129.0, 6123.7, 6133.7]","[6206.5, 6195.9, 6155.8]","[366.6, 364.5, 365.6]","[6149.5, 6158.5, 6164.2]","[3746.9, 3751.6, 3755.0]","[31.4, 31.9, 31.5]"
HIGH,1,3,154.5,152.8,153.3,154.3,153.2,92.1,27.5,"[154.5, 156.0, 153.9]","[152.9, 152.8, 152.3]","[154.3, 152.2, 153.3]","[154.3, 154.2, 154.3]","[153.2, 153.1, 153.7]","[91.8, 92.3, 92.1]","[27.4, 27.5, 27.6]"
HIGH,3,3,376.3,364.7,363.4,364.1,362.4,202.6,30.3,"[375.2, 376.3, 376.3]","[367.5, 362.0, 364.7]","[363.3, 364.1, 363.4]","[364.4, 364.1, 363.9]","[362.4, 361.2, 365.8]","[201.9, 204.0, 202.6]","[30.1, 30.5, 30.3]"
HIGH,6,3,738.6,707.2,708.8,364.2,705.3,399.5,31.1,"[738.6, 737.1, 744.1]","[707.2, 710.7, 706.5]","[708.8, 707.7, 711.8]","[364.8, 363.4, 364.2]","[705.1, 705.3, 708.4]","[399.5, 398.8, 402.0]","[31.1, 30.9, 31.2]"
HIGH,12,3,1454.4,1394.0,1391.9,366.6,1399.4,786.3,31.3,"[1455.0, 1454.4, 1453.2]","[1394.0, 1458.7, 1393.1]","[1392.4, 1391.5, 1391.9]","[372.6, 366.6, 364.6]","[1399.4, 1399.9, 1398.9]","[786.6, 786.3, 786.2]","[31.4, 31.3, 31.3]"
HIGH,24,3,2969.2,2851.4,2852.4,364.8,2856.4,1650.5,31.7,"[2969.2, 3048.0, 2968.7]","[2854.7, 2851.4, 2845.0]","[2856.9, 2852.4, 2848.2]","[364.6, 364.8, 366.0]","[2862.1, 2856.4, 2853.9]","[1653.7, 1649.8, 1650.5]","[31.7, 31.5, 32.0]"
HIGH,48,3,6364.8,6149.1,6148.7,365.2,6166.2,3754.2,31.0,"[6363.9, 6364.8, 6427.8]","[6134.0, 6152.1, 6149.1]","[6201.9, 6132.4, 6148.7]","[364.5, 365.2, 370.5]","[6157.3, 6166.2, 6242.6]","[3777.0, 3749.1, 3754.2]","[31.8, 31.0, 30.8]"
